"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2011,"Fenway","Fenway",102,174,3644109,3290109
2011,"Hyde Park","Hyde Park",105,231,3035974,10017437
2011,"Jamaica Plain","Jamaica Plain",170,246,8012483,7040670
2011,"Longwood","Longwood",10,7,674729,84341
2011,"Mattapan","Mattapan",55,126,1359331,4955453
2011,"Mission Hill","Mission Hill",37,58,1726858,1541467
2011,"North End","North End",178,326,8110238,20364405
2011,"Roslindale","Roslindale",114,182,1969725,2043793
2011,"Roxbury","Roxbury",132,263,6850654,14819518
2011,"South Boston","South Boston",247,475,9625746,44442434
2011,"South Boston Waterfront","South Boston Waterfront",24,67,1756887,8027523
2011,"South End","South End",337,398,14578724,21327432
2011,"West End","West End",62,92,2313801,6109682
2011,"West Roxbury","West Roxbury",133,234,3226337,4116541
2012,"Allston","Allston",176,219,6273773,15636537
2012,"Back Bay","Back Bay",388,545,14066427,35237460
2012,"Beacon Hill","Beacon Hill",96,112,5597760,2724303
2012,"Brighton","Brighton",290,299,9562112,12108771
2012,"Charlestown","Charlestown",148,206,4484837,9004095
2012,"Chinatown","Chinatown",133,208,5790672,19161742
2012,"Dorchester","Dorchester",419,595,16761409,23807372
2012,"Downtown","Downtown",583,950,32811848,76958248
2012,"East Boston","East Boston",159,170,5356818,5892245
2012,"Fenway","Fenway",125,185,4718130,4255368
2012,"Hyde Park","Hyde Park",130,251,6346083,12124868
2012,"Jamaica Plain","Jamaica Plain",217,272,12191381,9988255
2012,"Longwood","Longwood",1,5,6374,68841
2012,"Mattapan","Mattapan",65,145,1782206,4975645
2012,"Mission Hill","Mission Hill",40,74,2491079,4178453
2012,"North End","North End",210,315,10438753,17460617
2012,"Roslindale","Roslindale",163,224,3410555,4013462
2012,"Roxbury","Roxbury",156,276,9395145,16429741
2012,"South Boston","South Boston",241,339,7507295,27325843
2012,"South Boston Waterfront","South Boston Waterfront",49,104,1616634,11470931
2012,"South End","South End",349,453,12301701,24345681
2012,"West End","West End",91,152,2640164,10885737
2012,"West Roxbury","West Roxbury",186,258,5483026,21113665
2013,"Allston","Allston",216,219,7920022,17782123
2013,"Back Bay","Back Bay",410,495,12097429,35466949
2013,"Beacon Hill","Beacon Hill",112,100,4420649,6331365
2013,"Brighton","Brighton",298,270,11086635,13291813
2013,"Charlestown","Charlestown",148,169,4837715,10954266
2013,"Chinatown","Chinatown",134,196,4751817,18924020
2013,"Dorchester","Dorchester",427,446,13117483,24204909
2013,"Downtown","Downtown",578,875,21511166,81773124
2013,"East Boston","East Boston",143,152,5881637,4204579
2013,"Fenway","Fenway",175,172,6760993,8531012
2013,"Hyde Park","Hyde Park",142,161,7556183,10782163
2013,"Jamaica Plain","Jamaica Plain",207,217,9209837,8488534
2013,"Longwood","Longwood",2,12,26381,410785
2013,"Mattapan","Mattapan",72,85,4798773,7700648
2013,"Mission Hill","Mission Hill",68,45,4011565,2836899
2013,"North End","North End",211,248,6911360,19161623
2013,"Roslindale","Roslindale",168,146,5411456,4067856
2013,"Roxbury","Roxbury",164,215,11384281,19165525
2013,"South Boston","South Boston",283,359,14054211,34483384
2013,"South Boston Waterfront","South Boston Waterfront",61,100,2893495,12236812
2013,"South End","South End",412,359,18787132,26672015
2013,"West End","West End",90,140,1267529,9770904
2013,"West Roxbury","West Roxbury",207,204,6146700,8069978
2014,"Allston","Allston",266,305,8098690,12011396
2014,"Back Bay","Back Bay",428,553,13625946,41802804
2014,"Beacon Hill","Beacon Hill",100,116,2244404,3545293
2014,"Brighton","Brighton",294,330,10150852,11502294
