"YEAR","GEOID","NAME","feara","fireprof","hced","other","prodcon","retail","x"
2002,"Zip Code 02124","Zip Code 02124",48,84,130,89,67,78,45
2002,"Zip Code 02125","Zip Code 02125",50,86,60,49,72,76,31
2002,"Zip Code 02126","Zip Code 02126",27,35,37,38,32,53,29
2002,"Zip Code 02127","Zip Code 02127",84,146,43,89,176,69,19
2002,"Zip Code 02128","Zip Code 02128",106,129,56,83,196,93,22
2002,"Zip Code 02129","Zip Code 02129",43,166,27,47,103,34,5
2002,"Zip Code 02130","Zip Code 02130",78,153,157,93,70,71,40
2002,"Zip Code 02131","Zip Code 02131",44,78,66,66,65,78,20
2002,"Zip Code 02132","Zip Code 02132",44,119,65,63,88,73,13
2002,"Zip Code 02134","Zip Code 02134",92,153,42,60,78,94,9
2002,"Zip Code 02135","Zip Code 02135",93,212,134,85,105,93,35
2002,"Zip Code 02136","Zip Code 02136",29,89,43,61,130,54,19
2002,"Zip Code 02210","Zip Code 02210",45,386,14,40,192,44,4
2002,"Zip Code 02215","Zip Code 02215",146,177,97,80,27,79,13
2002,"Zip Codes 02108-10","Zip Codes 02108-10",329,3011,145,312,195,297,29
2003,"Zip Code 02111","Zip Code 02111",105,404,96,143,69,93,7
2003,"Zip Code 02113","Zip Code 02113",76,33,10,16,14,30,1
2003,"Zip Code 02114","Zip Code 02114",95,322,128,74,45,69,15
2003,"Zip Code 02115","Zip Code 02115",155,177,79,79,12,74,31
2003,"Zip Code 02116","Zip Code 02116",315,966,172,200,79,401,19
2003,"Zip Code 02118","Zip Code 02118",89,216,94,56,160,79,44
2003,"Zip Code 02119","Zip Code 02119",40,69,69,67,77,70,55
2003,"Zip Code 02120","Zip Code 02120",19,40,66,19,4,15,18
2003,"Zip Code 02121","Zip Code 02121",19,21,40,22,25,22,40
2003,"Zip Code 02122","Zip Code 02122",62,109,57,74,95,92,26
2003,"Zip Code 02124","Zip Code 02124",48,92,132,87,73,76,57
2003,"Zip Code 02125","Zip Code 02125",51,82,59,54,70,79,40
2003,"Zip Code 02126","Zip Code 02126",30,31,40,36,35,50,39
