"YEAR","GEOID","NAME","num_sml_sbus","num_sml_bbus","vol_sml_sbus","vol_sml_bbus"
2010,"25025081500","Census Tract 815",4,9,53682,52340
2010,"25025081700","Census Tract 817",2,15,20131,140915
2010,"25025081800","Census Tract 818",5,9,14762,127494
2010,"25025081900","Census Tract 819",3,7,9394,26841
2010,"25025082000","Census Tract 820",1,14,1342,446901
2010,"25025082100","Census Tract 821",4,2,18789,5368
2010,"25025090100","Census Tract 901",1,12,8052,30867
2010,"25025090200","Census Tract 902",1,9,18789,238884
2010,"25025090300","Census Tract 903",3,1,83207,1342
2010,"25025090400","Census Tract 904",3,7,22815,22815
2010,"25025090600","Census Tract 906",5,11,163729,1112555
2010,"25025090700","Census Tract 907",12,33,338195,927353
2010,"25025090901","Census Tract 909.01",1,7,1342,53682
2010,"25025091001","Census Tract 910.01",12,24,1246760,2382130
2010,"25025091100","Census Tract 911",8,20,463005,1356807
2010,"25025091200","Census Tract 912",4,16,116758,158361
2010,"25025091300","Census Tract 913",3,12,13420,85891
2010,"25025091400","Census Tract 914",4,9,99311,32209
2010,"25025091500","Census Tract 915",8,15,53682,705916
2010,"25025091600","Census Tract 916",11,18,53682,719336
2010,"25025091700","Census Tract 917",0,4,0,13420
2010,"25025091800","Census Tract 918",8,10,787780,46972
2010,"25025091900","Census Tract 919",2,8,21473,24157
2010,"25025092000","Census Tract 920",2,16,2684,71128
2010,"25025092101","Census Tract 921.01",17,63,2531097,2415681
2010,"25025092200","Census Tract 922",1,15,13420,71128
2010,"25025092300","Census Tract 923",3,5,1668162,445559
2010,"25025092400","Census Tract 924",5,22,224121,209359
2010,"25025100100","Census Tract 1001",3,13,140915,38919
2010,"25025100200","Census Tract 1002",3,7,46972,41603
2010,"25025100300","Census Tract 1003",1,10,26841,33551
2010,"25025100400","Census Tract 1004",3,23,138231,144941
2010,"25025100500","Census Tract 1005",9,35,285856,605262
2010,"25025100601","Census Tract 1006.01",12,23,232174,397245
2010,"25025100603","Census Tract 1006.03",11,31,653576,2951157
2010,"25025100700","Census Tract 1007",13,35,229490,696521
2010,"25025100800","Census Tract 1008",14,50,660286,1601060
2010,"25025100900","Census Tract 1009",3,16,24157,1560798
2010,"25025101001","Census Tract 1010.01",5,31,179834,2382130
2010,"25025101002","Census Tract 1010.02",5,26,124810,1426594
2010,"25025101101","Census Tract 1011.01",3,9,6979,24921
2010,"25025101102","Census Tract 1011.02",6,11,527424,362352
2010,"25025110104","Census Tract 1101.04",3,14,29028,258642
2010,"25025110105","Census Tract 1101.05",3,15,28632,275952
2010,"25025110106","Census Tract 1101.06",2,8,15573,150089
2010,"25025110201","Census Tract 1102.01",4,10,83931,47052
2010,"25025110301","Census Tract 1103.01",6,13,26116,516606
2010,"25025110401","Census Tract 1104.01",4,17,97969,108706
2010,"25025110403","Census Tract 1104.03",4,35,92601,158361
2010,"25025110501","Census Tract 1105.01",7,11,198623,75155
2010,"25025110502","Census Tract 1105.02",12,27,190570,422744
2010,"25025110601","Census Tract 1106.01",5,21,407982,147625
2010,"25025110607","Census Tract 1106.07",14,45,196550,678030
2010,"25025120103","Census Tract 1201.03",10,22,930670,411820
2010,"25025120104","Census Tract 1201.04",3,11,25019,64523
2010,"25025120105","Census Tract 1201.05",14,33,1368732,606687
2010,"25025120201","Census Tract 1202.01",7,34,904030,1108515
2010,"25025120301","Census Tract 1203.01",14,37,191348,249435
2010,"25025120400","Census Tract 1204",21,45,1303126,1670846
2010,"25025120500","Census Tract 1205",5,9,50998,83207
2010,"25025120600","Census Tract 1206",14,13,1162211,178492
2010,"25025120700","Census Tract 1207",6,7,94137,1272541
2010,"25025130101","Census Tract 1301.01",24,44,2340526,1441356
